Provinsi,Subindeks Akses & Infrastruktur TIK (2023),Subindeks Akses & Infrastruktur TIK (2024),Subindeks Penggunaan TIK (2023),Subindeks Penggunaan TIK (2024),Subindeks Keahlian TIK (2023),Subindeks Keahlian TIK (2024),Indeks Pembangunan TIK (2023),Indeks Pembangunan TIK (2024)
11. Aceh,"5,84","6,02","5,46","5,52","6,78","6,78","5,88","5,97"
12. Sumatera Utara,"5,92","6,17","5,92","6,11","6,49","6,44","6,04","6,2"
13. Sumatera Barat,"6,22","6,25","5,78","6,05","6,62","6,75","6,12","6,27"
14. Riau,"6,07","6,3","5,96","6,22","6,29","6,3","6,07","6,27"
15. Jambi,"6,08","6,15","5,75","5,93","5,95","6,01","5,92","6,03"
16. Sumatera Selatan,"6,11","6,13","5,74","5,93","5,73","5,7","5,88","5,97"
17. Bengkulu,"6,13","6,25","5,74","5,99","6,45","6,47","6,04","6,19"
18. Lampung,"5,84","6,02","5,79","5,92","5,67","5,68","5,78","5,91"
19. Kep. Bangka Belitung,"6,16","6,11","5,98","6,28","5,47","5,54","5,95","6,06"
21. Kep. Riau,"6,72","6,73","6,76","7,01","6,34","6,52","6,66","6,8"
31. DKI Jakarta,"8,31","8,41","7,65","7,86","6,72","6,86","7,73","7,88"
32. Jawa Barat,"6,5","6,69",6,"6,2","5,77","5,86","6,15","6,33"
33. Jawa Tengah,"5,97","6,14","5,83","5,96","5,7","5,73","5,86","5,98"
34. DI Yogyakarta,"7,99","8,08","6,29","6,43","7,73","7,78","7,26","7,36"
35. Jawa Timur,"6,11","6,2","5,79","5,97","6,01",6,"5,96","6,07"
36. Banten,"6,93","6,88","6,01","6,25","6,01","6,06","6,38","6,46"
51. Bali,"6,95","7,2","6,28","6,57","6,55","6,57","6,6","6,82"
52. Nusa Tenggara Barat,"5,78","5,87","5,54","5,74","6,07","6,17","5,74","5,88"
53. Nusa Tenggara Timur,"5,61","5,74","4,75","4,7","5,92","5,94","5,33","5,36"
61. Kalimantan Barat,"5,72",6,"5,75","5,99","5,54","5,51","5,7","5,9"
62. Kalimantan Tengah,"5,91","5,93","5,99","6,19","5,8","5,86","5,92","6,02"
63. Kalimantan Selatan,"5,96","6,26","6,04","6,18","5,72","5,79","5,95","6,13"
64. Kalimantan Timur,"6,62","6,6","6,66","6,84","6,74","6,76","6,66","6,73"
65. Kalimantan Utara,"6,3","6,51","6,33","6,38","6,25","6,24","6,3","6,4"
71. Sulawesi Utara,"6,01","6,06","5,72","5,87","6,3","6,28","5,95","6,03"
72. Sulawesi Tengah,"5,77","6,11","5,45","5,54","6,39","6,38","5,76","5,93"
73. Sulawesi Selatan,"6,15","6,37","5,73","5,96","6,3","6,36","6,01","6,21"
74. Sulawesi Tenggara,"5,77","5,92","5,69","5,89","6,51","6,51","5,88","6,03"
75. Gorontalo,"5,8","5,85","5,66","5,79","5,88","5,95","5,76","5,85"
76. Sulawesi Barat,"5,8","5,97","5,4","5,52","5,78","5,69","5,63","5,73"
81. Maluku,"5,97","6,02","5,36","5,1","7,01","6,98","5,94","5,84"
82. Maluku Utara,"5,67","5,85","4,92","5,04","6,62","6,6","5,56","5,68"
91. Papua Barat,"5,68","5,5","5,28","5,3","6,51","6,47","5,69","5,61"
94. Papua,"3,68","3,94","2,47","2,53","4,89","4,87","3,44","3,56"
Indonesia,"5,81","5,91","5,91","6,1","6,04","6,08","5,9","6,02"
