No.,Provinsi,Peserta Laki-laki,Peserta Perempuan,Peserta Jumlah,Lulusan Laki-laki,Lulusan Perempuan,Lulusan Jumlah
1,DKI Jakarta,25.310,28.980,54.290,25.299,28.974,54.273
2,Jawa Barat,103.878,133.983,237.861,103.803,133.926,237.729
3,Banten,30.859,36.629,67.488,30.814,36.600,67.414
4,Jawa Tengah,52.205,86.976,139.181,52.197,86.973,139.170
5,DI Yogyakarta,8.046,11.110,19.156,8.045,11.110,19.155
6,Jawa Timur,77.835,101.084,178.919,77.728,100.994,178.722
7,Aceh,19.912,22.280,42.192,19.851,22.253,42.104
8,Sumatera Utara,56.743,69.259,126.002,56.455,69.077,125.532
9,Sumatera Barat,20.103,28.218,48.321,20.074,28.203,48.277
10,Riau,23.438,29.160,52.598,23.388,29.128,52.516
11,Kepulauan Riau,7.205,9.091,16.296,7.203,9.090,16.293
12,Jambi,11.776,13.570,25.346,11.763,13.564,25.327
13,Sumatera Selatan,30.729,36.858,67.587,30.653,36.814,67.467
14,Bangka Belitung,4.120,5.250,9.370,4.117,5.247,9.364
15,Bengkulu,7.557,9.382,16.939,7.537,9.356,16.893
16,Lampung,22.695,28.627,51.322,22.662,28.606,51.268
17,Kalimantan Barat,19.714,22.530,42.244,19.691,22.500,42.191
18,Kalimantan Tengah,9.257,10.286,19.543,9.242,10.276,19.518
19,Kalimantan Selatan,10.386,11.709,22.095,10.383,11.701,22.084
20,Kalimantan Timur,11.097,13.932,25.029,11.090,13.921,25.011
21,Kalimantan Utara,2.693,2.906,5.599,2.689,2.902,5.591
22,Sulawesi Utara,10.102,10.737,20.839,10.072,10.696,20.768
23,Gorontalo,4.472,5.788,10.260,4.444,5.764,10.208
24,Sulawesi Tengah,12.019,13.948,25.967,11.961,13.887,25.848
25,Sulawesi Selatan,33.485,41.866,75.351,33.372,41.772,75.144
26,Sulawesi Barat,4.527,5.337,9.864,4.522,5.325,9.847
27,Sulawesi Tenggara,14.615,16.228,30.843,14.578,16.186,30.764
28,Maluku,11.453,11.839,23.292,11.435,11.816,23.251
29,Maluku Utara,6.790,6.884,13.674,6.780,6.873,13.653
30,Bali,14.779,15.122,29.901,14.779,15.119,29.898
31,Nusa Tenggara Barat,16.779,17.947,34.726,16.699,17.885,34.584
32,Nusa Tenggara Timur,29.531,36.339,65.870,29.394,36.273,65.667
33,Papua,11.415,10.467,21.882,11.379,10.427,21.806
34,Papua Barat,4.569,4.613,9.182,4.561,4.599,9.160
35,Luar Negeri,105,111,216,105,110,215
,Indonesia,730.199,909.046,1.639.245,728.765,907.947,1.636.712
