 ,KD,Provinsi,Negeri (22/23-23/24),Swasta (22/23-23/24),Jumlah (22/23-23/24),Negeri (23/24-24/25),Swasta (23/24-24/25),Jumlah (23/24-24/25),Negeri (24/25-25/26),Swasta (24/25-25/26),Jumlah (24/25-25/26)
1,11,Aceh,310,43,353,124,69,193,175,42,217
2,12,Sumatera Utara,801,920,1.721,378,602,980,475,570,1.045
3,13,Sumatera Barat,128,76,204,161,47,208,448,24,472
4,14,Riau,164,26,190,90,35,125,96,26,122
5,15,Jambi,110,18,128,77,4,81,41,6,47
6,16,Sumatera Selatan,238,285,523,97,184,281,162,165,327
7,17,Bengkulu,89,9,98,48,4,52,83,5,88
8,18,Lampung,79,92,171,30,88,118,20,78,98
9,19,Kep. Bangka Belitung,16,7,23,12,-,12,8,3,11
10,21,Kepulauan Riau,23,3,26,17,6,23,15,-,15
11,31,DKI Jakarta,9,23,32,2,11,13,3,7,10
12,32,Jawa Barat,109,383,492,60,226,286,53,187,240
13,33,Jawa Tengah,44,115,159,61,165,226,9,80,89
14,34,DI Yogyakarta,13,2,15,-,-,-,-,6,6
15,35,Jawa Timur,219,712,931,173,564,737,150,565,715
16,36,Banten,88,129,217,94,83,177,28,137,165
17,51,Bali,18,26,44,9,2,11,15,3,18
18,52,Nusa Tenggara Barat,247,280,527,230,155,385,147,125,272
19,53,Nusa Tenggara Timur,364,300,664,350,198,548,378,111,489
20,61,Kalimantan Barat,140,111,251,133,78,211,46,59,105
21,62,Kalimantan Tengah,91,7,98,83,15,98,80,12,92
22,63,Kalimantan Selatan,66,5,71,20,14,34,22,1,23
23,64,Kalimantan Timur,55,7,62,32,25,57,15,10,25
24,65,Kalimantan Utara,30,11,41,17,22,39,7,7,14
25,71,Sulawesi Utara,60,54,114,15,9,24,3,9,12
26,72,Sulawesi Tengah,169,46,215,137,22,159,109,45,154
27,73,Sulawesi Selatan,525,222,747,195,214,409,309,107,416
28,74,Sulawesi Tenggara,249,54,303,137,17,154,123,19,142
29,75,Gorontalo,165,9,174,138,9,147,89,4,93
30,76,Sulawesi Barat,19,7,26,69,21,90,29,-,29
31,81,Maluku,237,44,281,143,43,186,176,28,204
32,82,Maluku Utara,127,157,284,117,24,141,123,37,160
33,91,Papua,68,34,102,14,19,33,40,41,81
34,92,Papua Barat,21,5,26,40,11,51,14,8,22
35,93,Papua Selatan,55,22,77,23,-,23,7,5,12
36,94,Papua Tengah,19,42,61,34,117,151,3,4,7
37,95,Papua Pegunungan,137,23,160,101,57,158,78,120,198
38,96,Papua Barat Daya,27,18,45,89,6,95,18,20,38
39,-,Luar Negeri,-,1,1,-,-,-,-,-,-
,,Indonesia,5.329,4.328,9.657,3.550,3.166,6.716,3.597,2.676,6.273
