No.,KD,Provinsi,Peserta Laki-laki,Peserta Perempuan,Peserta Jumlah,Lulusan Laki-laki,Lulusan Perempuan,Lulusan Jumlah
1,11,Aceh,20.683,24.370,45.053,20.605,24.332,44.937
2,12,Sumatera Utara,57.601,70.796,128.397,57.327,70.630,127.957
3,13,Sumatera Barat,21.807,29.041,50.848,21.753,29.024,50.777
4,14,Riau,25.520,31.052,56.572,25.480,31.018,56.498
5,15,Jambi,12.188,14.494,26.682,12.172,14.483,26.655
6,16,Sumatera Selatan,32.849,39.113,71.962,32.749,39.035,71.784
7,17,Bengkulu,8.335,9.758,18.093,8.317,9.743,18.060
8,18,Lampung,25.518,32.402,57.920,25.503,32.386,57.889
9,19,Kep. Bangka Belitung,4.690,5.698,10.388,4.689,5.698,10.387
10,21,Kepulauan Riau,8.439,10.564,19.003,8.424,10.546,18.970
11,31,DKI Jakarta,30.863,33.103,63.966,30.858,33.103,63.961
12,32,Jawa Barat,120.881,155.044,275.925,120.675,154.801,275.476
13,33,Jawa Tengah,59.790,90.473,150.263,59.775,90.465,150.240
14,34,DI Yogyakarta,8.757,11.963,20.720,8.756,11.963,20.719
15,35,Jawa Timur,80.277,103.605,183.882,80.089,103.480,183.569
16,36,Banten,34.432,40.761,75.193,34.400,40.736,75.136
17,51,Bali,16.421,16.479,32.900,16.420,16.479,32.899
18,52,Nusa Tenggara Barat,19.020,20.903,39.923,18.930,20.793,39.723
19,53,Nusa Tenggara Timur,30.337,37.481,67.818,30.145,37.350,67.495
20,61,Kalimantan Barat,19.865,22.768,42.633,19.827,22.745,42.572
21,62,Kalimantan Tengah,9.756,10.559,20.315,9.727,10.527,20.254
22,63,Kalimantan Selatan,10.499,11.794,22.293,10.485,11.784,22.269
23,64,Kalimantan Timur,11.858,15.191,27.049,11.848,15.187,27.035
24,65,Kalimantan Utara,3.063,3.149,6.212,3.059,3.146,6.205
25,71,Sulawesi Utara,9.855,10.772,20.627,9.839,10.764,20.603
26,72,Sulawesi Tengah,12.089,14.205,26.294,12.042,14.172,26.214
27,73,Sulawesi Selatan,34.060,42.756,76.816,34.003,42.688,76.691
28,74,Sulawesi Tenggara,14.705,16.500,31.205,14.585,16.434,31.019
29,75,Gorontalo,4.501,5.562,10.063,4.476,5.537,10.013
30,76,Sulawesi Barat,4.621,5.338,9.959,4.602,5.321,9.923
31,81,Maluku,11.458,11.735,23.193,11.422,11.688,23.110
32,82,Maluku Utara,7.545,7.516,15.061,7.508,7.476,14.984
33,91,Papua,5.311,5.101,10.412,5.268,5.074,10.342
34,92,Papua Barat,2.651,2.632,5.283,2.647,2.629,5.276
35,93,Papua Selatan,2.051,1.881,3.932,2.032,1.860,3.892
36,94,Papua Tengah,2.609,2.394,5.003,2.608,2.391,4.999
37,95,Papua Pegunungan,2.461,2.006,4.467,2.446,1.998,4.444
38,96,Papua Barat Daya,2.362,2.346,4.708,2.358,2.343,4.701
39,-,Luar Negeri,147,178,325,147,178,325
,,Indonesia,789.875,971.483,1.761.358,787.996,970.007,1.758.003
