38 Provinsi,,,,
,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,,,
,7/12/01,13-15,16-18,19-23
,2025,2025,2025,2025
ACEH,99.38,97.65,80.94,34.95
SUMATERA UTARA,99.54,97.67,77.51,30.48
SUMATERA BARAT,99.63,97,85.04,38.84
RIAU,99.74,95.47,77.42,33.03
JAMBI,99.45,95.59,74.39,25.23
SUMATERA SELATAN,99.5,95.68,73.78,21.24
BENGKULU,99.29,97.01,80.48,34.18
LAMPUNG,99.62,95.72,75.35,20.68
KEP. BANGKA BELITUNG,99.49,92.9,76.03,21.13
KEP. RIAU,99.71,98.6,88.24,26.61
DKI JAKARTA,99.32,98.74,88.22,34.21
JAWA BARAT,99.5,96.58,75.8,27.98
JAWA TENGAH,99.54,97.05,77.97,27.44
DI YOGYAKARTA,99.61,99.6,93.03,54.72
JAWA TIMUR,99.28,97.15,80.96,28.9
BANTEN,99.52,97.11,73.84,24.45
BALI,99.57,98.88,90.68,34.32
NUSA TENGGARA BARAT,99.38,96.92,79.21,28.88
NUSA TENGGARA TIMUR,98.89,95.44,76.65,31.41
KALIMANTAN BARAT,98.95,94.36,70.95,26.84
KALIMANTAN TENGAH,99.45,95.74,70.76,24.91
KALIMANTAN SELATAN,99.14,93.82,75.16,30.91
KALIMANTAN TIMUR,99.64,97.34,84.15,33.15
KALIMANTAN UTARA,99.14,95.96,81.93,29.25
SULAWESI UTARA,99.28,96.11,71.45,25.57
SULAWESI TENGAH,98.56,94.58,75.36,26.5
SULAWESI SELATAN,99.21,94.22,75.94,33.8
SULAWESI TENGGARA,99.05,96.53,79.58,33.67
GORONTALO,98.85,92.35,72,35.02
SULAWESI BARAT,98.56,92.3,73.22,23.55
MALUKU,99.56,97.75,77.28,29.66
MALUKU UTARA,99.04,97.08,79.62,25.38
PAPUA BARAT,97.59,96.22,77.53,34.53
PAPUA BARAT DAYA,98.67,96.38,81.7,35.19
PAPUA,97.51,97.32,81.78,38.16
PAPUA SELATAN,91.65,89.29,66.97,27.57
PAPUA TENGAH,80.13,67.86,44.61,15.48
PAPUA PEGUNUNGAN,82.24,71.08,50.79,12.48
INDONESIA,99.23,96.3,77.86,29.13
