Provinsi,Nilai IPTIK 2019,Nilai IPTIK 2020
11. Aceh,"4,91","5,27"
12. Sumatera Utara,"5,19","5,44"
13. Sumatera Barat,"5,25","5,52"
14. Riau,"5,33","5,74"
15. Jambi,"5,17","5,49"
16. Sumatera Selatan,"4,91","5,3"
17. Bengkulu,"5,21","5,5"
18. Lampung,"4,83","5,15"
19. Kep. Bangka Belitung,"5,25","5,54"
21. Kepulauan Riau,"6,36","6,46"
31. DKI Jakarta,"7,27","7,46"
32. Jawa Barat,"5,86",6
33. Jawa Tengah,"5,51","5,74"
34. DI Yogyakarta,"6,9","7,09"
35. Jawa Timur,"5,5","5,73"
36. Banten,"5,89","5,99"
51. Bali,"6,23","6,57"
52. Nusa Tenggara Barat,"4,85","5,08"
53. Nusa Tenggara Timur,"4,13","4,49"
61. Kalimantan Barat,"4,78","5,08"
62. Kalimantan Tengah,"5,25","5,54"
63. Kalimantan Selatan,"5,45","5,67"
64. Kalimantan Timur,"6,23","6,34"
65. Kalimantan Utara,"5,84","5,98"
71. Sulawesi Utara,"5,41","5,69"
72. Sulawesi Tengah,"4,83","5,27"
73. Sulawesi Selatan,"5,27","5,59"
74. Sulawesi Tenggara,"5,19","5,58"
75. Gorontalo,"5,04","5,37"
76. Sulawesi Barat,"4,38","4,73"
81. Maluku,"4,8","5,27"
82. Maluku Utara,"4,36","4,78"
91. Papua Barat,"5,2","5,32"
94. Papua,"3,29","3,35"
INDONESIA,"5,32","5,59"
