Provinsi,Subindeks Akses & Infrastruktur TIK (2021),Subindeks Akses & Infrastruktur TIK (2022),Subindeks Penggunaan TIK (2021),Subindeks Penggunaan TIK (2022),Subindeks Keahlian TIK (2021),Subindeks Keahlian TIK (2022),Indeks Pembangunan TIK (2021),Indeks Pembangunan TIK (2022)
11. Aceh,"5,68","5,57","4,78","5,05","6,8","6,77","5,54","5,6"
12. Sumatera Utara,"5,81","5,97","5,38","5,61","6,36","6,37","5,75","5,9"
13. Sumatera Barat,"6,07","6,11","5,43","5,61","6,59","6,6","5,92","6,01"
14. Riau,6,"6,07","5,61","5,84","6,28","6,27","5,9","6,02"
15. Jambi,"6,01","5,93","5,36","5,64","5,89","5,87","5,73","5,8"
16. Sumatera Selatan,"5,89","5,97","5,39","5,6","5,66","5,67","5,64","5,76"
17. Bengkulu,"5,89","6,01","5,52","5,66","6,41","6,4","5,85","5,95"
18. Lampung,"5,69","5,65","5,42","5,61","5,66","5,62","5,58","5,63"
19. Kep. Bangka Belitung,"6,05","6,04","5,58","5,87","5,31","5,3","5,71","5,82"
21. Kepulauan Riau,"6,81","6,97","6,54","6,64","6,19","6,25","6,58","6,69"
31. DKI Jakarta,"8,27","8,27","7,59","7,54","6,59","6,57","7,66","7,64"
32. Jawa Barat,"6,5","6,54","5,86","5,97","5,7","5,76","6,08","6,16"
33. Jawa Tengah,"6,17","5,99","5,56","5,75","5,62","5,65","5,82","5,83"
34. DI Yogyakarta,"7,86","8,01","6,16","6,23","7,68","7,77","7,14","7,25"
35. Jawa Timur,"6,12","6,08","5,55","5,73","5,9","5,93","5,85","5,91"
36. Banten,"6,47","6,7","5,87","6,01","5,96","6,02","6,13","6,29"
51. Bali,"6,92","7,06","6,08","6,28","6,42","6,52","6,49","6,64"
52. Nusa Tenggara Barat,"5,52","5,54","4,97","5,43","5,98","6,01","5,39","5,59"
53. Nusa Tenggara Timur,"5,42","5,45","4,15","4,46","5,88","5,86",5,"5,13"
61. Kalimantan Barat,"5,75","5,59","5,16","5,62","5,48","5,51","5,46","5,58"
62. Kalimantan Tengah,"5,71","5,75","5,61","5,82","5,76","5,75","5,68","5,78"
63. Kalimantan Selatan,"6,02","5,93","5,81","5,94","5,63","5,67","5,86","5,88"
64. Kalimantan Timur,"6,46","6,67","6,28","6,49","6,67","6,69","6,43","6,6"
65. Kalimantan Utara,"5,86","6,42","6,23","6,49","6,22","6,22","6,08","6,41"
71. Sulawesi Utara,"6,07","5,85","5,63","5,7","6,26","6,25","5,93","5,87"
72. Sulawesi Tengah,"5,66","5,57","4,95","5,24","6,37","6,36","5,52","5,6"
73. Sulawesi Selatan,"5,94","6,05","5,45","5,62","6,25","6,3","5,8","5,92"
74. Sulawesi Tenggara,"5,69","5,63","5,39","5,54","6,51","6,54","5,73","5,78"
75. Gorontalo,"5,69","5,55","5,42","5,57","5,84","5,87","5,61","5,62"
76. Sulawesi Barat,"5,61","5,48","4,85","5,38","5,73","5,73","5,33","5,49"
81. Maluku,"5,92","5,72","4,73","5,17","6,97","7,07","5,65","5,77"
82. Maluku Utara,"5,36","5,36","3,92","4,48","6,6","6,66","5,03","5,27"
91. Papua Barat,"5,43","5,4","4,95","5,17","6,53","6,58","5,46","5,54"
94. Papua,"3,71","3,38","2,24","2,18","4,84","4,97","3,35","3,22"
Indonesia,"5,76","5,8","5,66","5,82","5,97",6,"5,76","5,85"
Sumber,,,,,,,,
https://id.scribd.com/document/716217449/Indeks-Pembangunan-Teknologi-Informasi-Dan-Komunikasi-2022,,,,,,,,
