No.,Provinsi,Peserta Laki-laki,Peserta Perempuan,Peserta Jumlah,Lulusan Laki-laki,Lulusan Perempuan,Lulusan Jumlah
1,DKI Jakarta,25.558,29.784,55.342,25.552,29.778,55.330
2,Jawa Barat,95.448,125.628,221.076,95.403,125.589,220.992
3,Banten,27.663,32.991,60.654,27.617,32.963,60.580
4,Jawa Tengah,50.407,82.232,132.639,50.394,82.226,132.620
5,DI Yogyakarta,7.734,10.526,18.260,7.734,10.525,18.259
6,Jawa Timur,76.850,98.979,175.829,76.756,98.917,175.673
7,Aceh,20.108,24.076,44.184,20.019,24.046,44.065
8,Sumatera Utara,53.624,66.974,120.598,53.469,66.870,120.339
9,Sumatera Barat,19.353,27.593,46.946,19.325,27.583,46.908
10,Riau,22.517,28.151,50.668,22.497,28.132,50.629
11,Kepulauan Riau,6.401,8.169,14.570,6.399,8.166,14.565
12,Jambi,11.603,13.786,25.389,11.591,13.778,25.369
13,Sumatera Selatan,30.515,36.282,66.797,30.458,36.249,66.707
14,Bangka Belitung,3.940,5.089,9.029,3.937,5.089,9.026
15,Bengkulu,7.241,8.697,15.938,7.236,8.688,15.924
16,Lampung,21.865,27.698,49.563,21.834,27.676,49.510
17,Kalimantan Barat,18.754,21.996,40.750,18.731,21.969,40.700
18,Kalimantan Tengah,8.891,10.189,19.080,8.865,10.170,19.035
19,Kalimantan Selatan,10.048,11.713,21.761,10.041,11.699,21.740
20,Kalimantan Timur,10.996,13.591,24.587,10.981,13.577,24.558
21,Kalimantan Utara,2.519,2.849,5.368,2.514,2.845,5.359
22,Sulawesi Utara,9.969,10.835,20.804,9.940,10.807,20.747
23,Gorontalo,3.794,5.236,9.030,3.792,5.227,9.019
24,Sulawesi Tengah,10.840,13.291,24.131,10.822,13.271,24.093
25,Sulawesi Selatan,34.782,43.311,78.093,34.633,43.236,77.869
26,Sulawesi Barat,4.455,5.828,10.283,4.445,5.823,10.268
27,Sulawesi Tenggara,14.512,16.118,30.630,14.470,16.090,30.560
28,Maluku,11.958,12.355,24.313,11.905,12.320,24.225
29,Maluku Utara,6.941,7.060,14.001,6.902,7.037,13.939
30,Bali,14.494,14.287,28.781,14.492,14.285,28.777
31,Nusa Tenggara Barat,16.675,17.606,34.281,16.630,17.591,34.221
32,Nusa Tenggara Timur,28.762,34.617,63.379,28.621,34.547,63.168
33,Papua,11.793,10.329,22.122,11.731,10.307,22.038
34,Papua Barat,4.533,4.654,9.187,4.511,4.638,9.149
35,Luar Negeri,123,175,298,123,175,298
,Indonesia,705.666,882.695,1.588.361,704.370,881.889,1.586.259
