No.,KD,Provinsi,Peserta Laki-laki,Peserta Perempuan,Peserta Jumlah,Lulusan Laki-laki,Lulusan Perempuan,Lulusan Jumlah
1,11,Aceh,19.405,22.944,42.349,19.357,22.916,42.273
2,12,Sumatera Utara,54.867,68.564,123.431,54.659,68.431,123.090
3,13,Sumatera Barat,20.523,27.702,48.225,20.499,27.675,48.174
4,14,Riau,24.077,29.666,53.743,24.046,29.649,53.695
5,15,Jambi,11.593,13.830,25.423,11.590,13.825,25.415
6,16,Sumatera Selatan,31.414,37.235,68.649,31.355,37.198,68.553
7,17,Bengkulu,7.674,9.186,16.860,7.666,9.174,16.840
8,18,Lampung,23.302,29.695,52.997,23.280,29.680,52.960
9,19,Kep. Bangka Belitung,4.452,5.299,9.751,4.416,5.243,9.659
10,21,Kepulauan Riau,7.825,9.920,17.745,7.824,9.918,17.742
11,31,DKI Jakarta,30.498,32.835,63.333,30.496,32.834,63.330
12,32,Jawa Barat,113.308,147.003,260.311,113.255,146.967,260.222
13,33,Jawa Tengah,55.720,88.369,144.089,55.695,88.355,144.050
14,34,DI Yogyakarta,7.977,11.426,19.403,7.976,11.426,19.402
15,35,Jawa Timur,75.156,98.815,173.971,74.998,98.684,173.682
16,36,Banten,31.825,38.714,70.539,31.791,38.693,70.484
17,51,Bali,15.806,15.965,31.771,15.805,15.964,31.769
18,52,Nusa Tenggara Barat,17.665,18.801,36.466,17.626,18.765,36.391
19,53,Nusa Tenggara Timur,30.131,36.636,66.767,30.003,36.545,66.548
20,61,Kalimantan Barat,19.144,22.166,41.310,19.100,22.135,41.235
21,62,Kalimantan Tengah,9.304,10.322,19.626,9.283,10.309,19.592
22,63,Kalimantan Selatan,10.134,11.532,21.666,10.127,11.531,21.658
23,64,Kalimantan Timur,11.450,14.580,26.030,11.423,14.571,25.994
24,65,Kalimantan Utara,2.934,2.963,5.897,2.927,2.961,5.888
25,71,Sulawesi Utara,9.612,10.391,20.003,9.598,10.374,19.972
26,72,Sulawesi Tengah,11.705,13.760,25.465,11.669,13.731,25.400
27,73,Sulawesi Selatan,32.983,41.523,74.506,32.929,41.471,74.400
28,74,Sulawesi Tenggara,14.577,16.015,30.592,14.548,15.983,30.531
29,75,Gorontalo,4.327,5.520,9.847,4.301,5.488,9.789
30,76,Sulawesi Barat,4.204,4.925,9.129,4.186,4.910,9.096
31,81,Maluku,10.988,11.349,22.337,10.947,11.310,22.257
32,82,Maluku Utara,7.150,7.017,14.167,7.133,7.000,14.133
33,91,Papua,5.245,4.945,10.190,5.232,4.934,10.166
34,92,Papua Barat,2.629,2.641,5.270,2.623,2.636,5.259
35,93,Papua Selatan,1.800,1.693,3.493,1.800,1.691,3.491
36,94,Papua Tengah,2.404,2.201,4.605,2.366,2.175,4.541
37,95,Papua Pegunungan,2.134,1.667,3.801,2.097,1.648,3.745
38,96,Papua Barat Daya,2.207,2.319,4.526,2.203,2.317,4.520
39,-,Luar Negeri,137,161,298,137,161,298
,,Indonesia,748.286,930.295,1.678.581,746.966,929.278,1.676.244
