Provinsi,Desa Kelurahan dengan Penerimaan Sinyal Internet - 3G/H/H+/ EVDO,"Desa Kelurahan dengan Penerimaan Sinyal Internet - 2,5G/E/ GPRS",Desa Kelurahan dengan Penerimaan Sinyal Internet - Tidak Ada,Desa Kelurahan dengan Penerimaan Sinyal Internet - 5G/4G/LTE
Aceh,552,83,38,5840
Sumatera Utara,402,138,213,5360
Sumatera Barat,45,18,20,1204
Riau,95,38,27,1710
Jambi,106,30,19,1431
Sumatera Selatan,238,72,21,2954
Bengkulu,91,34,6,1382
Lampung,164,24,,2466
Kepulauan Bangka Belitung,1,,,392
Kepulauan Riau,42,10,1,377
DKI Jakarta,,,,267
Jawa Barat,83,3,2,5869
Jawa Tengah,187,42,1,8333
DI Yogyakarta,17,1,1,419
Jawa Timur,150,26,,8318
Banten,94,12,2,1444
Bali,1,,,717
Nusa Tenggara Barat,35,6,,1139
Nusa Tenggara Timur,415,159,34,2930
Kalimantan Barat,272,199,88,1598
Kalimantan Tengah,181,121,113,1162
Kalimantan Selatan,104,31,18,1862
Kalimantan Timur,126,44,19,866
Kalimantan Utara,74,29,37,344
Sulawesi Utara,46,16,34,1742
Sulawesi Tengah,74,15,28,1905
Sulawesi Selatan,107,36,26,2891
Sulawesi Tenggara,144,70,42,2036
Gorontalo,58,24,8,642
Sulawesi Barat,55,13,67,515
Maluku,33,21,67,1141
Maluku Utara,81,89,27,1012
Papua Barat,108,28,109,725
Papua Barat Daya,24,11,85,936
Papua,64,30,163,747
Papua Selatan,11,6,77,596
Papua Tengah,114,164,647,245
Papua Pegunungan,366,253,1429,497
Indonesia,4760,1896,3469,74014
,,,,
Catatan,,,,
"1Desa pada tabel ini termasuk Unit Permukiman Transmigrsi (UPT) yang masih dibina oleh kementerian terkait dan nagari di provinsi Sumatera Barat/ Villages in this table include Settlement Uni fostered by the relevant ministries and the nagari in the province of Sumatera Barat2Termasuk desa/kelurahan yang tidak memiliki sinyal telepon seluler/ Include villages/subdistricts that do not have cell phone signal3Data provinsi tidak mencakup sebagian desa/kelurahan yang tidak berhasil dicacah karena kendala keamanan dan lainnya. Secara nasional, terdapat 152 desa/kelurahan yang tidak berhasil dicacah di Provinsi Papua, Papua Tengah, dan Papua Pegunungan/ Provincial data does not include some villages/subdistricts that were not successfully enumerated due to security and other constraints. Nationally, there are 152 villages/subdistricts that have not successfully enumerated in Papua, Papua Tengah, dan Papua Pegunungan.",,,,
