No.,KD,Provinsi,Tingkat X (Jml),Tingkat X (%),Tingkat XI (Jml),Tingkat XI (%),Tingkat XII (Jml),Tingkat XII (%),Jumlah Total
1,11,Aceh,48.892,"34,23",48.063,"33,65",45.872,"32,12",142.827
2,12,Sumatera Utara,131.672,"33,63",131.721,"33,64",128.161,"32,73",391.554
3,13,Sumatera Barat,57.930,"35,94",53.385,"33,12",49.866,"30,94",161.181
4,14,Riau,62.948,"34,24",61.872,"33,66",59.000,"32,1",183.820
5,15,Jambi,29.390,"34,4",28.615,"33,49",27.436,"32,11",85.441
6,16,Sumatera Selatan,76.565,"33,82",75.914,"33,53",73.927,"32,65",226.406
7,17,Bengkulu,19.235,"33,88",19.340,"34,07",18.194,"32,05",56.769
8,18,Lampung,64.709,"34,84",62.339,"33,57",58.666,"31,59",185.714
9,19,Kep. Bangka Belitung,11.838,"34,55",11.576,"33,78",10.854,"31,67",34.268
10,21,Kepulauan Riau,19.774,"32,94",20.348,"33,89",19.912,"33,17",60.034
11,31,DKI Jakarta,61.627,"33,05",62.567,"33,56",62.267,"33,39",186.461
12,32,Jawa Barat,314.191,"36,1",283.723,"32,6",272.444,"31,3",870.358
13,33,Jawa Tengah,158.741,"33,93",156.711,"33,49",152.453,"32,58",467.905
14,34,DI Yogyakarta,21.395,"33,83",21.211,"33,54",20.632,"32,63",63.238
15,35,Jawa Timur,190.188,34,187.748,"33,56",181.442,"32,44",559.378
16,36,Banten,76.438,"33,48",76.808,"33,64",75.077,"32,88",228.323
17,51,Bali,28.344,"32,47",28.383,"32,52",30.556,"35,01",87.283
18,52,Nusa Tenggara Barat,43.414,"34,77",41.286,"33,07",40.156,"32,16",124.856
19,53,Nusa Tenggara Timur,65.811,"33,63",64.965,"33,2",64.913,"33,17",195.689
20,61,Kalimantan Barat,48.079,"35,38",44.992,"33,1",42.841,"31,52",135.912
21,62,Kalimantan Tengah,22.210,"34,42",21.780,"33,76",20.529,"31,82",64.519
22,63,Kalimantan Selatan,24.694,"34,61",23.835,"33,41",22.820,"31,98",71.349
23,64,Kalimantan Timur,30.448,"34,97",28.736,"33,01",27.874,"32,02",87.058
24,65,Kalimantan Utara,7.254,"35,31",7.003,"34,08",6.289,"30,61",20.546
25,71,Sulawesi Utara,20.617,"33,64",20.418,"33,32",20.247,"33,04",61.282
26,72,Sulawesi Tengah,25.888,"33,27",26.076,"33,51",25.856,"33,22",77.820
27,73,Sulawesi Selatan,76.478,"33,87",74.509,"32,99",74.835,"33,14",225.822
28,74,Sulawesi Tenggara,31.210,"33,92",29.947,"32,55",30.847,"33,53",92.004
29,75,Gorontalo,10.073,"33,33",9.970,"32,99",10.182,"33,68",30.225
30,76,Sulawesi Barat,10.354,"34,38",10.082,"33,47",9.684,"32,15",30.120
31,81,Maluku,23.008,"33,59",22.460,"32,79",23.035,"33,62",68.503
32,82,Maluku Utara,14.648,"33,7",14.650,"33,71",14.162,"32,59",43.460
33,91,Papua,12.399,"34,81",12.114,"34,01",11.109,"31,18",35.622
34,92,Papua Barat,6.847,38,5.980,"33,19",5.190,"28,81",18.017
35,93,Papua Selatan,5.578,"38,65",4.760,"32,98",4.094,"28,37",14.432
36,94,Papua Tengah,6.011,"32,36",7.277,"39,17",5.289,"28,47",18.577
37,95,Papua Pegunungan,5.327,"34,08",5.674,"36,3",4.632,"29,62",15.633
38,96,Papua Barat Daya,5.195,"34,76",5.037,"33,7",4.713,"31,54",14.945
39,-,Luar Negeri,371,"32,29",398,"34,64",380,"33,07",1.149
,,Indonesia,1.869.791,"34,38",1.812.273,"33,32",1.756.436,"32,3",5.438.500
