38 Provinsi,,,,,
,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir menurut Provinsi dan Jenjang Pendidikan yang Sedang Diduduki (Persen),,,,
,SD,SMP,SMA,D1-D3,S1 ke atas
,2024,2024,2024,2024,2024
ACEH,17.46,19.53,40.6,3.6,18.82
SUMATERA UTARA,20.09,18.57,45.34,2.51,13.49
SUMATERA BARAT,24.64,19.57,37,3.13,15.66
RIAU,26.61,21.92,36.52,1.81,13.14
JAMBI,27.17,22.26,35.13,1.9,13.54
SUMATERA SELATAN,30.33,20.33,36.46,2.29,10.59
BENGKULU,24.94,20.57,34.64,2.35,17.5
LAMPUNG,28.25,25.76,34.91,1.71,9.36
KEP. BANGKA BELITUNG,33.04,16.08,38.55,2.53,9.79
KEP. RIAU,23.28,16.57,44.11,2.36,13.68
DKI JAKARTA,15.01,16.17,46.99,3.85,17.99
JAWA BARAT,27.76,23.91,35.44,2.14,10.76
JAWA TENGAH,30.79,25.3,32.08,1.83,10.01
DI YOGYAKARTA,19.42,19.59,35.95,3.86,21.18
JAWA TIMUR,26.65,22.76,35.66,1.68,13.26
BANTEN,24.35,23.5,38.91,2.08,11.16
BALI,21.76,19.29,37.34,5.81,15.8
NUSA TENGGARA BARAT,26.55,22.05,35.23,1.84,14.33
NUSA TENGGARA TIMUR,28.59,22.49,29.22,2.99,16.72
KALIMANTAN BARAT,33.06,20.8,33.42,2.37,10.35
KALIMANTAN TENGAH,30.27,25.49,29.73,1.83,12.67
KALIMANTAN SELATAN,32.55,21.35,31.75,1.93,12.41
KALIMANTAN TIMUR,24.58,18.59,40.03,3.1,13.69
KALIMANTAN UTARA,25.67,22.46,36.13,1.78,13.96
SULAWESI UTARA,17.18,20.82,43.33,2.05,16.62
SULAWESI TENGAH,24.94,24.34,30.07,2.42,18.23
SULAWESI SELATAN,25.58,19.28,35.21,2.34,17.59
SULAWESI TENGGARA,22.17,24.42,30.77,2.3,20.34
GORONTALO,29.54,21.17,28.61,2.32,18.35
SULAWESI BARAT,32.38,18.76,29.8,2.11,16.95
MALUKU,15.64,17.52,40.92,2.96,22.96
MALUKU UTARA,18.48,21.8,37.51,2.82,19.39
PAPUA BARAT,19.59,20.06,39.72,3.06,17.57
PAPUA BARAT DAYA,18.08,14.64,43.45,2.29,21.54
PAPUA,12.68,17.33,43.43,3.5,23.06
PAPUA SELATAN,18.88,14.9,43.98,2.69,19.54
PAPUA TENGAH,14.53,18.58,45.31,3.52,18.06
PAPUA PEGUNUNGAN,11.62,17.39,44.85,7.27,18.87
INDONESIA,26.03,22.12,36.46,2.3,13.09
